"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"51-2093.00",3.15,2.88,2.88,2.62,2.38,2.88,3.25,2,1.88,1.75,3,3.12,2.25,2.25,3,2.88,1,1.88,2.62,3.38,2.88,2.38,0
"51-3011.00",3.13,3,2.88,2.5,2.75,2.75,3,1.62,1.88,2,3.62,3.12,2.62,3,2.75,3,0,1.88,2.38,3,2.88,2.38,0
"51-3021.00",2.97,3,2.88,2.25,2.25,2.88,3,2.12,2,2.25,3,3.12,2,2.38,2.88,2.5,0.62,2.25,2.38,2.75,2.88,2.25,0
"51-3022.00",3.12,2.75,2.75,2.25,2.12,2.25,2.75,1.5,2,2.12,3,3,2.12,2.12,2.75,2.25,0.75,1.62,2.12,2.25,2.88,2.12,0
"51-3023.00",3.21,2,2,1.5,0.88,2,2.5,0.88,0.88,1,2.75,2.62,0.88,2,2.38,2.5,0,0.88,1.75,1.75,1.75,1.38,0
"51-3091.00",3.04,3.12,2.88,2.88,2.12,2.88,3,0.62,2.12,1,3.12,3,2.12,3.12,3.12,3.12,0.5,2,2.12,3,2.88,2.88,0
"51-3092.00",3.45,3,3,2.5,1.62,2.75,3.38,1.88,1.88,1.75,3.12,3.25,1.5,3.38,3,3,0.5,1.88,2.12,2.38,3,2.5,0
"51-3093.00",4.01,3,3,2,2,2.88,3,1.75,1.88,2,3,2.88,1.38,3,3,2.88,0.88,1.75,2.12,2.25,2.88,2.38,1
"51-4011.00",3.85,3,3.12,3.25,3,3,3.38,3,2.88,3,3.75,3.75,3,3,3.75,3.62,1.75,3,2.88,3.75,3.12,3,0
"51-4012.00",4.07,3.38,3.5,3.38,3,3.12,3.75,3.62,2.62,3.25,3.88,3.62,3,3.12,3.25,3.25,0.5,2.88,2.5,3.88,3.75,3.12,1
"51-4021.00",2.94,2.88,3,2.88,2,2.62,3,1.88,2,2,3.12,2.75,2,3,2.88,3.12,1.5,1.88,2.38,3.12,2.88,2,0
"51-4022.00",3.4,3,3,2.75,2.12,3,3,1.88,1.75,2,3.12,3,2.12,3.12,3,3,1.25,2,2,3.12,3,2.75,0
"51-4023.00",3.64,3,3,3,2.25,2.88,3,2.12,2.12,2,3.38,3.38,2.12,3.38,3.12,3.38,1.75,2.38,2.5,3,3,2.38,0
"51-4031.00",3.31,3.12,3,2.88,1.75,3,3,2,1.88,2.12,3,3,1.88,3.25,3,3,1.88,2,2.5,3.38,3,2.5,0
"51-4032.00",3.39,3,3,2.38,2.25,2.88,3,2.12,2,2.25,3.12,3.12,2.12,3.12,2.88,3,1.12,2,2.62,3.25,3,2.88,0
"51-4033.00",3.14,3,2.88,2.88,2.25,2.88,3.25,2,2,2.38,3,2.88,1.75,3.12,3.12,3,1,2.25,2,3.38,3,2.12,0
"51-4034.00",3.32,2.62,2.75,2.5,2,2.62,2.88,2.12,1.62,2.25,3.12,3,2,2.75,3,3.12,1,1.38,2,2.88,3,2.12,0
"51-4035.00",3.29,2.75,3,2.75,2.38,2.88,3,2.5,2,2.25,3.5,3,2.25,2.88,3,3,1,1.88,2.25,3,3,2.5,0
"51-4041.00",3.22,3.38,3.12,3.12,2.88,3.12,3.25,2.88,2.38,2.75,3.38,3.38,3.12,3.12,3.25,3.12,2.12,2.62,2.62,3.62,3.38,2.75,0
"51-4051.00",3.83,2.88,2.88,2.88,2,2.88,3,2,2,2.38,3,3,2,3.12,3,3.25,1.75,2.12,2.75,3,2.88,2.25,0
"51-4052.00",3.21,3,2.88,2.5,2.12,2.75,2.88,1.38,2,1.5,3.12,3,2.12,3.25,2.88,3,1.62,1.88,2.75,2.88,2.38,2,0
"51-4061.00",4.35,2.88,3.12,3,2.38,2.88,3.25,2.25,2.12,2.5,3.62,3.38,2.75,2.88,3.12,3.25,0.62,2.25,2.25,3.88,3,2.38,1
"51-4062.00",3.35,3.12,3,2.62,2.62,2.88,3.12,2.12,1.75,2.25,3,3,2.5,2.88,3.12,3.25,0.88,1.88,2.62,3.38,3,2.88,0
"51-4071.00",3.32,2.5,2.12,2.12,1.25,2.12,2.62,1.38,0.88,1.75,2.88,2.38,1.25,2.25,2.75,2.88,0.88,1.62,2.25,2.88,1.75,1.5,0
"51-4072.00",3.67,3,2.88,2.88,2.25,2.62,3.12,2.12,2,2.12,3.12,3,2.25,3.12,3,3,1,2.12,2.38,3,3,2.12,0
"51-4081.00",3.66,3,3.12,2.88,2.25,3,3.12,1.5,1.88,2,3.62,3.5,2.12,3,3.25,3.62,1.25,2,2.88,3.75,2.88,2.88,0
"51-4111.00",4.21,4,3.5,2.5,2.62,3.38,3.75,2.38,2,2.38,3.88,3.75,2.88,2.5,3.25,3.12,1.12,2.12,2.12,3.88,3.5,2.88,1
"51-4121.06",3.91,3,2.88,2.88,2.38,2.75,2.62,1.75,2,2.25,3.5,3.25,2.38,2.88,2.88,3,1.88,2.25,2.25,3.5,2.88,2.5,1
"51-4121.07",2.87,2.12,2.12,2.38,0.75,2.12,2.12,0.75,0.88,1,2.62,2.5,0.88,2.5,2.38,2.38,0,1.62,1.75,2.75,1.88,1.5,0
"51-4122.00",2.68,3.12,3,2.75,1.62,3,3,1.38,1.38,1.38,3.12,3.38,1.62,3,2.88,3.12,1,1.88,2.12,3.25,2.75,2.12,0
"51-4191.00",3.48,3.38,3,3,1.88,2.88,3.25,2,2,2.12,3.25,3.38,1.88,3.38,3.12,3.75,1.75,2.25,2.5,3.12,3,2.62,0
"51-4192.00",3.77,3.25,3.12,3,2.75,3,3.12,2.88,2,3,3.5,3.12,2.25,3.12,3.25,3.12,1.25,2.12,2.5,3.88,3,2.5,0
"51-4193.00",3.61,3,3,3,2.25,3,3,1.38,1.5,1.5,3.75,3.12,2.25,3,3,3,0.88,2,2.12,2.5,3,2.88,0
"51-4194.00",3.82,3,3,3.12,2.25,2.62,3,2.88,2.12,2.88,3.12,3.12,2.12,3.12,3,3.25,0.75,2.38,2.38,3.38,3,2.38,0
"51-5111.00",3.64,3.12,3,2.88,2.88,3,3,2,2,1.75,3.12,3.12,3,2.88,3.12,2.88,0,1.5,2.12,3.25,3,3,0
"51-5112.00",3.86,3,3,3,2.5,2.88,3,2.25,2,1.88,3.25,3.12,2.62,3.12,3.25,3.12,0.25,1.88,2.12,3.38,3.12,3,1
"51-5113.00",3.2,3,2.88,3.12,2.5,2.88,3.25,1.75,2.12,2.12,3.5,3.38,2.38,3.12,3,2.88,1.62,2.25,2.75,3.38,2.88,2.75,0
"51-6011.00",2.9,2.62,2.75,2.25,2,2.5,2.38,1.12,1.5,1.12,2.88,3,2,2.12,2.62,2.38,0,1.75,2,2,2.25,2,0
"51-6021.00",3.74,2.25,2.12,2.38,1.38,2.12,2.12,0.62,0.88,0.62,2,2,1.25,2.25,2.12,2.25,0,0.88,0.62,2,1.75,1.25,0
"51-6031.00",2.58,2.88,2.75,2.62,1.38,2.12,2.62,1.62,1,1.62,2.38,2.5,1.25,2.62,2.75,2.5,0.12,2,2.12,3,2.5,1.88,0
"51-6041.00",2.63,2.63,2.5,2,0.88,2.38,2.63,1.13,0.75,1.38,2.88,2.63,0.88,2.13,2.5,2.25,0.13,1.5,1.88,2.75,2.5,2.13,0
"51-6042.00",3.19,2.88,2.63,2.63,2.13,2.63,3,1.75,1.13,1.88,2.88,3,1.88,2.63,2.63,2.88,0,1.88,1.75,2.75,3,2,0
"51-6051.00",3.41,2.88,2.5,2.5,2.25,2.63,2.75,1.75,1.5,2.13,2.38,2.38,2.38,2.63,2.5,2.5,0,2,1.88,3.38,2.38,1.88,0
"51-6052.00",3.24,2.75,2.63,2.5,2.5,2.75,3.25,1.75,1.63,2.13,3.63,3.25,2.63,2.38,2.63,2.38,0.38,2.13,2.25,3.25,2.75,2.63,0
"51-6061.00",3.03,2.88,2.88,3.13,2.13,2.88,3.13,2.38,1.75,2.25,3.38,3.25,2.13,3.13,3.13,3.38,0.63,2.38,2.13,2.63,2.88,2.38,0
"51-6062.00",3.52,3,3,3,2,2.62,3,1.88,2,2,3,3,2,3,3,3.12,1,2.12,2.12,3.5,2.75,2,0
"51-6063.00",3.02,2.75,2.5,2.13,1.25,2.38,2.75,0.63,1.13,1.13,3.13,3.13,1.5,2.88,2.88,2.63,0,1.38,1.5,2.88,2.5,1.88,0
"51-6064.00",3.02,2.88,2.62,2.88,2,2.38,2.88,1.88,1.88,2,2.75,2.75,2,3.12,3,3.12,0.5,2.38,2.12,2.88,2.38,2,0
"51-6091.00",2.99,3,3.12,3,2.12,3,3.12,2,2,2.12,3.5,3,2.12,3.12,3.12,3.5,1.5,1.88,2.88,3,3,3,0
"51-6092.00",4.06,3.75,3.62,3.12,3.62,3.25,3.75,3,2.5,3,3.62,3.75,3.88,3.12,3.38,3.12,0,2.5,2.88,4.25,3,3,1
"51-6093.00",3.15,3,3,2.88,2.88,2.88,3.12,2.25,2,2.25,3,3,3,2.75,3,3,1.75,2,2.62,3.88,3,2.12,0
"51-7011.00",3.42,2.88,2.88,2.75,2.75,2.88,3.38,2.25,1.88,2.25,3.38,3.12,2.75,2.88,2.88,3.12,1.38,2.5,2.25,3.88,3.12,2.25,0
"51-7021.00",3.56,3.12,3,3.12,2.88,3,3.12,1.5,2,2,3.12,3.12,2.88,2.88,2.88,3.12,0.5,2.12,2.38,3.88,3,2.25,0
"51-7031.00",3.9,3,3.13,2.88,2.88,3,3.25,2.38,1.75,2.38,3.63,3.38,2.75,3,3,3.63,1.25,1.75,2.63,3.88,3.25,2.88,1
"51-7032.00",3.79,3,2.75,2.25,2.25,2.88,3,2.25,2.13,2.5,3.5,3,2.38,2.88,2.88,2.88,1.63,2.25,2.63,3.63,3.13,2.38,0
"51-7041.00",3.21,2.62,2.75,2.75,1.75,2.88,2.88,1.75,1.75,1.75,3,2.88,1.75,2.88,2.88,3.12,0.88,1.75,1.88,3.12,2.75,1.88,0
"51-7042.00",3.48,2.88,2.88,2.88,2,2.75,2.88,1.88,1.88,2,3.5,3,2,3,2.88,3.62,1.12,2.5,2.62,3.75,2.88,1.75,0
"51-8011.00",4.14,3.25,3.88,3.25,3,3.88,4,3.12,2.88,3,4,4,3,4,4.12,3.38,0.12,3,3,2.88,4,3.88,1
"51-8012.00",4,3,4,3.38,3,3.75,3.38,2.88,2.25,3,4,4,2.88,3.5,4,3,1,2.75,2.62,3,3.62,3.5,1
"51-8013.00",3.46,3,3.5,3.12,2.75,3.38,3.25,2,1.75,2.12,4,4,2.75,3.62,3.62,3.62,1.88,2.25,3,3.12,3.25,3,0
"51-8021.00",3.71,3,3,2.75,2.25,3,3,1.5,2.12,1.5,3.75,3.38,2.12,3.88,3.25,3.38,1.38,2.25,2.5,2.75,3.25,3,0
"51-8031.00",3.48,3.12,3.38,3,3,3.25,3.12,3,2.25,2.75,4,3.88,2.5,3.25,4,3.12,1.75,2.38,2.75,2.88,3.5,3.12,0
"51-8091.00",3.7,3,3.75,3,2.12,3.62,3.62,2.62,2.62,2.88,3.75,3.88,2.12,3.62,3.75,3.75,1.12,3,2.88,2.88,3.62,3,0
"51-8092.00",4.28,2.88,3.5,3.5,2.75,3.38,3.25,2.38,2.38,2.75,3.63,3.63,2.5,4,3.63,3.38,1.88,3,2.88,3.38,3.5,2.75,1
"51-8093.00",3.41,3.38,3.75,3.75,2.63,3.75,3.5,3.13,2.88,3.13,3.88,3.75,2.63,4,3.88,3.75,2.25,3,3,3.38,3.75,3.13,0
"51-8099.01",3.65,3.5,3.12,3.25,2.88,3.12,3.38,2.88,3,3,3.62,3.62,2.75,3.75,3.38,3.62,2.12,2.62,2.88,3.12,3.75,3.12,0
"51-8099.03",3.78,2.75,3.12,3,2.38,3.12,3.12,2.38,3,2.5,3.62,3.25,2.38,3.5,3.12,3.5,1.88,2.62,2.88,3.38,3.12,3.12,0
"51-8099.04",3.94,3.25,3.62,3.38,2.88,3.62,3.5,2.88,2.75,3,4.12,3.38,2.62,3.62,4,3.75,2,2.88,2.88,3.38,3.62,3,1
"51-9011.00",3.76,3.75,3.12,3.12,2.5,3.12,3.5,2.12,2.25,2.5,4,3.88,2.25,3.88,3.88,3.5,1.75,2.75,2.75,3.12,3.62,3.12,0
"51-9012.00",3.42,3,3,3.12,2.25,3,3,2,2.5,2.12,3.5,3.62,2.12,3.38,3.25,3,1.88,2.38,2.75,3,2.88,2.88,0
"51-9021.00",3.35,3.12,3,3,2.25,3,3.25,2,2.12,2.25,3.12,3.12,2.12,3.25,3,3.12,1.88,2.25,2.88,3,3,2.5,0
"51-9022.00",3.34,2.88,2.88,2.62,2.12,2.75,2.88,1.25,1.88,1.75,2.88,2.88,2,2.88,3,2.88,1.12,1.88,2.75,2.88,2.75,2.5,0
"51-9023.00",3.79,3,3,2.75,2,3,3.12,2.12,2.12,2.25,3.62,3,2,3.12,3.12,3,2,2.25,2.62,2.25,3,2.88,0
"51-9031.00",2.35,2.88,2.62,2.38,2,2.62,3,1,1.38,1.25,3.12,2.88,1.75,2.25,2.62,3,0.25,1.25,2,2.38,2.62,2,0
"51-9032.00",2.88,2.88,2.88,2.88,2.25,2.88,3.12,2,2,2,3.25,3,2,3.25,2.88,3.25,1.25,2.38,2.12,3.38,3,2.62,0
"51-9041.00",3.37,3,2.88,2.75,2,2.88,3.12,1.75,1.88,2,3.12,2.88,2,3.75,2.88,3.38,1.25,1.88,2.5,3.62,2.88,2.12,0
"51-9051.00",3.01,3,2.88,2.5,1.5,2.88,3,2,1.25,1.5,3.62,3.38,1.12,3.25,3.12,3.25,1.12,1.12,2,2.12,3.12,2.75,0
"51-9061.00",3.36,3.12,3.12,3.12,2.12,3,3,2.25,1.75,2.25,3.88,3.75,2,3.12,3,3.12,0,1.88,2.38,3,3.5,2.88,0
"51-9071.01",4.04,3.88,3.25,3.62,3,3,3.12,3,1.88,3,3.62,3.62,3.12,3,3,3.12,0.12,2.75,2.25,3.5,3.12,2.75,1
"51-9071.06",3.47,3.5,3.12,3.75,2.5,3.12,2.75,2.62,1.62,2.62,3.62,3.5,2.75,2.75,2.88,2.62,0,2.62,2,3.38,3.12,2.75,0
"51-9071.07",4.2,3,2.75,3.5,2.88,2.75,2.88,2,1.38,2,3,3,2.75,2.75,2.88,2.88,0,2.12,2.25,3.25,2.88,2,1
"51-9081.00",3.75,3.12,3,3,2.5,3,3.12,2.12,2,2.12,3.62,3,2.5,2.88,3.12,3.12,0.5,2.12,2.25,3.5,3.12,2.38,0
"51-9082.00",3.79,3,3.62,3,3,3.12,3.12,2.75,2.25,2.88,3.88,4,3,2.62,3.62,2.88,0,2.25,2.88,3.75,3.12,3,0
"51-9083.00",3.21,2.88,3,2.75,2,2.5,3,2,1.88,2.25,3.62,3.25,1.88,2.88,3,3.12,0,2,2.12,3.12,3,2.25,0
"51-9111.00",3.03,3,2.88,3,2.12,2.75,3,2.12,2,2,3,3,2.25,3,2.88,3,1.75,2.12,2.75,2.88,3,2.88,0
"51-9121.00",3.37,2.88,2.75,2.88,2.12,2.88,3.12,1.88,2.38,2,3,3,2.12,3,2.88,3,1.75,2.38,2.5,3,2.88,2.25,0
"51-9122.00",3.77,2.25,2.5,2.62,2,2.12,2.5,1.62,1.62,1.88,2.88,2.88,1.88,2.25,2.75,3,1.5,2,1.88,3.12,2.38,1.75,0
"51-9123.00",2.79,2.5,2.75,2.12,1.88,2.75,2.38,1.12,1.12,1.12,3,3,2,2.12,2.62,2.12,0.38,1.38,2.12,2.12,2.62,1.88,0
"51-9141.00",3.17,3,3.13,2.63,2.13,3,3.25,1.88,2.38,1.75,3.38,3.38,2.13,3.13,3,3,0.5,1.63,2.13,3,3.38,3.38,0
"51-9151.00",3.94,3.12,3.12,3,2.62,3.12,3.12,2.25,2.75,2.25,3.38,3.12,2.75,3,3.12,3.12,0.25,2.38,2.88,3,3.12,2.88,1
"51-9191.00",2.96,3,2.75,2.75,1.75,2.75,3,2,1.75,2.12,3.12,3,1.75,3.12,3,3.25,1.25,2,2.25,3.12,3,2.25,0
"51-9192.00",3.6,2.75,2.38,2.25,2,2.38,2.75,1.38,1.75,1.38,2.88,2.38,1.5,3,2.5,2.75,0.88,2,2.25,2.38,2.5,2.12,0
"51-9193.00",3.34,2.88,3,2.75,2.38,3,3,2.38,2.25,2.5,3,3,2.38,3.5,3.12,3.25,1.5,2.25,2.25,3.12,3,2.75,0
"51-9194.00",3.72,3,3,2.62,2.62,2.88,3.12,1.88,2,2,3.25,3.38,2.5,2.75,3,3,0.88,1.88,2.12,3.12,3,2.88,0
"51-9195.03",3.38,3,2.75,2.62,2.62,2.75,2.88,1.38,1.38,1.5,2.88,2.88,2.75,2.38,3,3.12,0.88,1.25,1.62,3.25,2.88,1.75,0
"51-9195.04",3.46,3,2.88,2.75,2.88,2.88,3,2.12,2.12,2.38,3.12,3,2.75,3.12,3,3.5,0.88,2,2.75,3.88,3,2.62,0
"51-9195.05",3.47,3.12,3,2.5,3.25,3,3.25,1.5,1.5,1.38,3.5,3.38,3.5,2.88,3.12,3,1.38,1.5,2.38,3.62,3,3,0
"51-9195.07",2.81,3,2.62,2.62,2,2.5,3,2,2,2,3,3,2,2.88,2.75,2.88,1.75,1.88,2.25,3,3,2.12,0
"51-9196.00",3.25,3.12,2.75,2.75,2.12,2.75,3,1.5,1.5,1.75,3,3,2.12,2.88,2.75,3.12,0.75,1.88,2.5,2.88,2.88,2.25,0
"51-9197.00",2.52,2.5,2.75,2.5,1.88,2.63,2.75,1.13,1.13,1.38,3,2.88,1.88,2.75,2.75,3.38,0.88,1,1.88,2.88,2.5,2,0
"51-9198.00",2.82,2.75,2.62,2.12,1.62,2.75,2.62,1.62,1.12,1.75,2.88,2.88,1.62,3,2.75,2.75,1,1.75,2,2.62,2.25,2,0
"51-9199.01",2.95,3,2.5,2.75,2.12,2.5,2.88,1.38,1.88,1.5,2.88,2.88,1.88,2.75,2.5,2.75,2.12,2,2.62,2.38,2.75,2.62,0
"53-1011.00",3.76,3,3.12,3.12,3,3,3.12,2.88,2.38,3,3.88,3.88,3,3.12,3.5,3.5,2,3,3.12,3.62,3,2.88,0
"53-1021.00",3.87,3.12,3.75,2.75,3,3.25,3.62,2.25,2,2.5,4,4,3,2.25,3.75,3,1,2.25,3,3,3.62,3.38,1
"53-1021.01",3.85,2.88,3.25,2.62,2.88,3.12,3.12,2.5,2,2.62,3.75,3.62,2.5,2.38,3,2.62,1.5,2.12,2.38,2.12,3.25,3.25,0
"53-1031.00",3.76,3,3.5,3,3,3.25,3.62,2.62,2.25,2.75,3.75,4,3.12,2.75,3.5,2.88,1.88,2.88,2.88,3,3.62,3.62,0
"53-2011.00",4.22,3.38,4.25,4,3.12,4.12,4,3.38,3,3.75,4.62,4.38,3.12,4.12,4.88,4,4.75,3.75,4.25,3.88,4,3.25,1
"53-2012.00",4.17,3.12,4.25,3.75,3,4,4,2.75,2.12,2.5,4.25,4,3,3.88,4.75,4,4,3.5,3.88,3.38,4,3.62,1
"53-2021.00",4.29,4,4.38,4.5,3.75,4,4.12,3.12,3,3.25,4.62,4.75,3.5,4.38,4.62,4.88,1,4.88,5.62,4.5,3.88,3.38,1
"53-2022.00",3.84,3,4,3,3.25,3.75,3.5,2.38,2.25,2.12,4.12,4.12,3.12,3.12,4.12,3.38,2,3.12,3,3.12,3.88,3.62,0
"53-2031.00",3.78,2.62,3.5,2.88,2.12,3,3,1.62,1.88,1.88,4,4,2,2.88,3.88,3,0.38,2.5,2.75,1.88,2.88,2.5,0
"53-3011.00",3.34,3,3.62,3,2.75,3.12,3,1.38,1.88,1.25,4,4,2.38,3.12,3.75,3,3.12,2.75,3.12,2.88,3.12,3,0
"53-3021.00",3.44,2,2.25,2.25,1.62,2.25,2.62,1.12,2,1.25,2.88,3,1.75,2.88,3,3.25,2.88,2.12,3.25,2.25,2.5,2,0
"53-3022.00",3.24,2.25,2.88,2.25,2,2.88,2.88,1.12,2.12,1.75,3,3,2,2.88,3,3,3,2.25,3,2.75,3,2.38,0
"53-3031.00",2.11,2.62,2.75,2.25,2.88,2.5,2.75,1.88,2,2.25,3.88,3.75,2.25,2.5,2.88,2.62,2.25,1.88,2.62,1.88,3,2.62,0
"53-3032.00",3.07,3,3,2.12,2.12,3,3.12,1.88,2,2,3.12,3.25,2.25,2.88,3,3.12,3.12,2,2.88,2.88,3,2.25,0
"53-3033.00",2.88,2.5,2.75,2.12,1.62,2.5,2.75,1.75,1.5,2,3.25,3.75,1.75,2.5,2.75,2.88,3.12,2.25,3,2.75,3,2.25,0
"53-3041.00",3.46,2.12,2.75,2.75,2,2.88,2.75,1.88,2.38,2,3.75,3.12,2.12,2.38,3,2.88,3,2.12,3,2.88,3.12,2.75,0
"53-4011.00",3.74,2.75,3.12,3.5,2,3.12,3.25,2.25,2.25,2.5,3.88,3.88,2,3.75,3.38,4,3.12,2.88,3.5,3,3.12,2.75,0
"53-4012.00",3.55,2.62,3.25,2.62,2.12,3.12,3,1.5,1.75,1.5,3.75,3.5,2.12,3.25,3.5,3.75,2.25,2.12,3,2.88,2.88,2.75,0
"53-4013.00",3.88,2.75,3.13,2.88,2.13,3.13,3.13,1.75,1.88,2,3.63,3.75,2.13,3,3.5,3.25,2.88,2.5,3,2.88,2.88,2.38,1
"53-4021.00",3.48,2.63,2.75,2.75,2,2.75,2.75,1.63,1.63,1.75,3.38,3.38,2.13,3,3.38,3.25,2.13,2.38,3,3.13,2.88,2.25,0
"53-4031.00",3.58,3.12,3.75,3,2.75,3.12,3.75,2.12,2,2.25,4,4,2.75,3.12,3.75,3.25,2.25,2.38,2.88,3.38,3,3,0
"53-4041.00",3.17,2.63,3.25,3,1.75,3,3.13,1.88,2.5,2.38,3.5,3.63,1.88,2.88,3.25,3.25,2.75,2.5,2.88,2.63,2.88,2.5,0
"53-5011.00",2.69,3,3,3.88,2.25,3,3.12,2.12,2.12,2.12,3.88,3.25,2.25,3.25,3.5,3.12,2.88,2.5,3.12,3.25,3.12,2.88,0
"53-5021.01",3.63,3.38,3.88,3.25,3,3.88,3.25,2.75,2.38,3,4,3.88,3,3.38,4,4,4,3.12,4,3.62,3.88,3.75,0
"53-5021.02",3.72,3,3.25,3,2.88,3.25,3,2.12,2.12,2.12,4,4,3,3.25,3.62,3.25,3.5,2.12,3.12,3.12,3.12,3,0
"53-5021.03",3.86,3,4,4,3,3.62,3.38,2.25,2.75,2.5,4.25,4.12,2.88,3.75,4,3.88,4.5,3.25,3.62,3.75,3.88,3.25,1
"53-5022.00",3.75,2.63,3,3.38,2.38,2.75,3.13,1.5,2.5,1.75,3.38,3.63,2.5,3.5,3.63,3.75,3.88,2.75,3.38,3.63,2.75,2.5,0
"53-5031.00",4.22,3.25,3.75,3.12,3,3.88,3.75,2.38,2.25,2.5,4.12,4,3.12,3.25,4.12,3.88,1.5,3,3,3.62,4,3.5,1
"53-6011.00",2.86,2.63,2.75,2.63,2.13,2.5,2.75,1.63,2.25,2,3,2.88,2,2.75,2.88,3.25,1.88,2.63,2.88,2.25,2.63,2.88,0
"53-6021.00",2.4,2.62,2.5,3,1.75,2.5,2.5,1.75,2,2.12,2.88,3.38,1.75,2.75,2.88,3.12,2.75,2,2.38,2.62,2.25,2,0
"53-6031.00",4.21,2.38,2.5,2.38,1.88,2.38,2.75,1.75,1.88,2.12,3.12,3.88,1.88,2.38,2.5,2.75,1.88,2,2.38,3,2.88,2.12,1
"53-6041.00",4.18,3.25,3.88,3.12,3.12,3.38,3.5,3,2.25,3,3.88,4,3,3,3.38,3,1.88,2.5,2.38,3.12,3.62,3.38,1
"53-6051.01",4.38,3.25,3.75,3.38,3,4,3.38,2.38,2.25,2.38,4,4,3,3.25,4.12,3.12,1.75,2.88,3,3.25,4,3.88,1
"53-6051.07",3.36,2.88,3,3,2.12,3,3,1.75,1.88,1.75,3.62,3.25,2,2.88,3.12,2.88,1.88,2.25,2.62,2.75,3,2.75,0
"53-6051.08",4.05,3.38,3.25,3.25,2.38,3.5,3.38,2.75,2.25,2.75,3.88,3.88,2.38,3.25,3.62,2.62,1.75,2.38,2.5,3.25,3.75,3.62,1
"53-6061.00",3.6,2.88,2.88,2.5,2.12,2.88,2.62,1.5,2,1.62,3.62,4,2.12,2.5,3.25,2.75,1,2,2.75,2,3,2.38,0
"53-7011.00",2.5,3,3,2.88,2.25,3,3.5,1.75,2,1.75,3.5,3.38,2.12,3.25,3.12,3.12,1.38,2.25,2.5,3,2.88,2.88,0
"53-7021.00",3.33,2.5,3,2.62,2.12,2.5,2.75,2.12,2,2.12,3.5,3.12,2.12,3.12,2.88,3.12,2.75,2.12,2.5,3.12,2.88,2.38,0
"53-7031.00",2.81,2.25,2.62,3,2,2.38,2.88,1.38,1.62,1.38,3.25,2.88,1.75,3.12,2.75,3,2.38,2,2.5,2.75,2.25,2,0
"53-7032.00",2.99,2.88,3,3,2.12,2.88,2.88,1.88,2,2,3.62,3.62,2.12,3,3.12,3.12,3,2.75,3,3.5,2.88,2.25,0
"53-7033.00",2.83,3.12,2.62,2.25,1.12,2.62,3,0.75,1.38,0.62,3,3,1.25,2.62,2.75,3,2.25,2.12,2.75,3,2.75,1.75,0
"53-7041.00",3.26,2.63,2.38,2.5,2.13,2.63,2.88,1.5,2.25,2,3.63,2.88,2.13,3.38,2.88,2.75,1.75,2,2.63,2.88,2.5,2.13,0
"53-7051.00",3.26,2.38,2.62,2.38,1.88,2.12,2.38,1.75,1.5,1.88,3,2.5,1.75,3,3,3,2.75,1.62,2.62,2.62,2.38,1.75,0
"53-7061.00",3.24,2.12,2.25,1.25,1,2.25,2.25,0.5,1,0.88,2.75,2.38,0.62,1.38,2.25,2.12,1.25,1.12,1.5,1.88,2,1,0
"53-7062.00",2.67,2.62,2.5,2.25,1.88,2.5,2.5,1.38,1.25,1.75,3.12,2.75,1.75,2.38,2.75,2.62,1.75,1.75,2.5,2.62,2.88,1.88,0
"53-7063.00",2.81,2.88,2.75,2.88,1.88,2.75,2.88,1.75,1.75,2,3,3,1.75,3,2.75,2.88,0.5,1.5,2.5,2.62,3,2.75,0
"53-7064.00",3.21,2.38,2.38,1.62,1.12,2.12,2.38,1.12,1.12,1.38,2.88,2.88,1,1.88,2.5,2.38,1.12,1.25,1.62,1.62,2.25,1.75,0
"53-7071.00",4.09,3,3.25,3,2.25,3.12,3,2.12,2.12,2.12,3.12,3,2.12,3.5,3.25,3,1.88,2.75,2.75,2.75,2.88,2.88,1
"53-7072.00",3.19,3.13,2.88,3,2.38,2.88,3.25,2.63,2.25,2.63,3.5,3.25,2.13,3.75,3.38,3.25,2,2.5,2.63,3.25,3,2.5,0
"53-7073.00",3.71,3,3,2.25,1.88,3,3,1.38,2.12,1.62,2.88,3,1.75,3.38,3.25,3.12,1.88,1.75,2.25,3.12,2.75,2.38,0
"53-7081.00",3.37,2.75,2.25,2.12,2,2.25,2.62,0.38,2,0.38,3,2.88,2,2.12,2.25,2.12,2.12,2,2.25,2.25,2.38,2.12,0
"53-7111.00",2.45,1.5,2.75,1.13,1.25,2.13,2.13,1,0.88,0.5,3,3,1.38,2.13,2.63,2.5,2.25,0.63,2.5,2.38,2.25,1.88,0
"53-7121.00",3.53,2.88,2.88,3,2.12,2.88,2.88,2.12,2,2.12,3.38,3.25,2.12,3.12,3,3,2,2,2.88,3,3,2.75,0
