"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"17-2111.01",4.16,4,4.88,4.12,4.12,4.88,4.12,3.88,2.88,3.25,4.75,4.75,3.88,3.5,5,3.12,1.62,3.5,2.5,3.88,4.88,4.38,1
"17-2111.02",4.32,3.88,4.38,3.88,4,4,3.88,2.88,2.62,2.88,4,4.38,4,3.25,4.38,3.12,0.62,3,2.25,3.75,4,4,1
"17-2111.03",4.18,3.38,4.12,3.12,3.5,4.25,3.25,3.12,2.25,2.88,4.5,4.25,3.12,3,4.5,2.88,0.62,2.75,2.25,3.25,4.38,4.12,1
"17-2112.00",4.45,3.62,3.88,3.12,3.5,4,3.75,3.5,2.25,2.75,4.25,4.38,3.5,2.62,4,3.25,0.5,2.12,2.88,3.62,4.25,4.38,1
"17-2112.01",4.79,4,4.88,3.38,4,4.5,4,4.38,2.75,3.75,5,4.62,3.88,2.88,4.5,3,0.62,3.12,2.25,3.75,4.75,4.38,1
"17-2121.01",4.17,4.25,5.12,3.38,3.75,4.5,4.62,4.38,2.62,4.25,4.5,4.75,4,3.38,4.25,3,2.12,2.88,2.75,4.25,4.88,4.5,1
"17-2121.02",4.64,4.25,4.88,2.75,4.38,4.25,4.5,4.62,2.12,4.38,5.12,4.88,4.12,3,4.38,3.25,1,3,2.38,4.62,5.12,4.12,1
"17-2131.00",4.64,4.62,4.62,3.38,3.75,4.38,4,4.5,2,4.25,4.75,4.88,4.12,3.12,4.25,2.88,0,2.62,2.25,4,4.75,4.62,1
"17-2141.00",4.78,4.12,4.88,3.38,3.88,4.12,4.38,4.75,2.62,4.25,4.88,4.88,4,3.38,4.12,3.5,0.38,3,2.75,3.88,4.75,4.12,1
"17-2141.01",4.46,3.5,4.12,3.62,4.12,4.12,3.75,4.25,2.75,3.62,4.62,4.62,3.75,3.75,4.25,3.12,0.62,3,2.75,3.62,4.75,4.38,1
